,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
1728,1,39,10,90,0.8869140625,"(0.8756696486478719, 0.8045849410750113, 0.8896077962990778, 0.8756696486478719)",0.3-0.7
1729,1,39,10,100,0.88828125,"(0.8764231720903949, 0.8047891935237501, 0.8901786533308957, 0.8764231720903949)",0.3-0.7
1730,1,39,1000,10,0.965625,"(0.9608172367348112, 0.868144308358446, 0.961035552351551, 0.9608172367348112)",0.3-0.7
1731,1,39,1000,20,0.9765625,"(0.97086405236732, 0.899178483365193, 0.9709422297417778, 0.97086405236732)",0.3-0.7
1732,1,39,1000,30,0.98203125,"(0.9753849125633749, 0.8819104404313167, 0.9753452300633867, 0.9753849125633749)",0.3-0.7
1733,1,39,1000,40,0.98203125,"(0.9763059051361174, 0.8607076527206102, 0.9761536988821706, 0.9763059051361174)",0.3-0.7
1734,1,39,1000,50,0.9818359375,"(0.9774778034164123, 0.8846988210719726, 0.9773809584726356, 0.9774778034164123)",0.3-0.7
1735,1,39,1000,60,0.982421875,"(0.97839883104654, 0.9075310354447605, 0.9783519080848411, 0.97839883104654)",0.3-0.7
1736,1,39,1000,70,0.9833984375,"(0.9794034705409285, 0.9087408430746798, 0.9793594333584998, 0.9794034705409285)",0.3-0.7
1737,1,39,1000,80,0.9830078125,"(0.9801569238686806, 0.9093099623352501, 0.9801062237773749, 0.9801569238686806)",0.3-0.7
1738,1,39,1000,90,0.9828125,"(0.9805756843376923, 0.9100235750033129, 0.9805249700111698, 0.9805756843376923)",0.3-0.7
1739,1,39,1000,100,0.98359375,"(0.9804919673012755, 0.9099143556425078, 0.9804327773002246, 0.9804919673012755)",0.3-0.7
1740,1,39,2000,10,0.965625,"(0.9608172367348112, 0.868144308358446, 0.961035552351551, 0.9608172367348112)",0.3-0.7
1741,1,39,2000,20,0.9765625,"(0.97086405236732, 0.899178483365193, 0.9709422297417778, 0.97086405236732)",0.3-0.7
1742,1,39,2000,30,0.98203125,"(0.9753849125633749, 0.8819104404313167, 0.9753452300633867, 0.9753849125633749)",0.3-0.7
1743,1,39,2000,40,0.98203125,"(0.9763059051361174, 0.8607076527206102, 0.9761536988821706, 0.9763059051361174)",0.3-0.7
1744,1,39,2000,50,0.9818359375,"(0.9774778034164123, 0.8846988210719726, 0.9773809584726356, 0.9774778034164123)",0.3-0.7
1745,1,39,2000,60,0.982421875,"(0.97839883104654, 0.9075310354447605, 0.9783519080848411, 0.97839883104654)",0.3-0.7
1746,1,39,2000,70,0.9833984375,"(0.9794034705409285, 0.9087408430746798, 0.9793594333584998, 0.9794034705409285)",0.3-0.7
1747,1,39,2000,80,0.9830078125,"(0.9801569238686806, 0.9093099623352501, 0.9801062237773749, 0.9801569238686806)",0.3-0.7
1748,1,39,2000,90,0.9828125,"(0.9805756843376923, 0.9100235750033129, 0.9805249700111698, 0.9805756843376923)",0.3-0.7
1749,1,39,2000,100,0.98359375,"(0.9804919673012755, 0.9099143556425078, 0.9804327773002246, 0.9804919673012755)",0.3-0.7
1750,1,3,50,10,0.6787109375,"(0.6458492406219742, 0.5265607659364402, 0.6532053141870572, 0.6458492406219742)",0.3-0.7
1751,1,3,50,20,0.705859375,"(0.6759889162570211, 0.5581148197120641, 0.6868868170119897, 0.6759889162570211)",0.3-0.7
1752,1,3,50,30,0.716015625,"(0.686202850445895, 0.5708314835685836, 0.6981730899951468, 0.686202850445895)",0.3-0.7
1753,1,3,50,40,0.725,"(0.6920632182820058, 0.5720035870978116, 0.7032759695942558, 0.6920632182820058)",0.3-0.7
1754,1,3,50,50,0.72421875,"(0.6988450694942552, 0.5781662262010931, 0.7109597899304217, 0.6988450694942552)",0.3-0.7
1755,1,3,50,60,0.7255859375,"(0.7004361839895725, 0.5812108747781759, 0.7122024541662577, 0.7004361839895725)",0.3-0.7
1756,1,3,50,70,0.7318359375,"(0.7004362891617288, 0.5797287472368633, 0.7129307113475973, 0.7004362891617288)",0.3-0.7
1757,1,3,50,80,0.731640625,"(0.7021943469264841, 0.5835049522003475, 0.7151122579750656, 0.7021943469264841)",0.3-0.7
1758,1,3,50,90,0.73515625,"(0.7028643636769027, 0.5840479906398658, 0.7157562886447296, 0.7028643636769027)",0.3-0.7
1759,1,3,50,100,0.7369140625,"(0.7047901009161898, 0.5851901918014633, 0.7178107990320636, 0.7047901009161898)",0.3-0.7
1760,1,3,100,10,0.6787109375,"(0.6458492406219742, 0.5265607659364402, 0.6532053141870572, 0.6458492406219742)",0.3-0.7
1761,1,3,100,20,0.705859375,"(0.6759889162570211, 0.5581148197120641, 0.6868868170119897, 0.6759889162570211)",0.3-0.7
1762,1,3,100,30,0.716015625,"(0.686202850445895, 0.5708314835685836, 0.6981730899951468, 0.686202850445895)",0.3-0.7
1763,1,3,100,40,0.725,"(0.6920632182820058, 0.5720035870978116, 0.7032759695942558, 0.6920632182820058)",0.3-0.7
1764,1,3,100,50,0.72421875,"(0.6988450694942552, 0.5781662262010931, 0.7109597899304217, 0.6988450694942552)",0.3-0.7
1765,1,3,100,60,0.7255859375,"(0.7004361839895725, 0.5812108747781759, 0.7122024541662577, 0.7004361839895725)",0.3-0.7
1766,1,3,100,70,0.7318359375,"(0.7004362891617288, 0.5797287472368633, 0.7129307113475973, 0.7004362891617288)",0.3-0.7
1767,1,3,100,80,0.731640625,"(0.7021943469264841, 0.5835049522003475, 0.7151122579750656, 0.7021943469264841)",0.3-0.7
1768,1,3,100,90,0.73515625,"(0.7028643636769027, 0.5840479906398658, 0.7157562886447296, 0.7028643636769027)",0.3-0.7
1769,1,3,100,100,0.7369140625,"(0.7047901009161898, 0.5851901918014633, 0.7178107990320636, 0.7047901009161898)",0.3-0.7
1770,1,3,10,10,0.556640625,"(0.5487290996632388, 0.46448354700255934, 0.5915362709238146, 0.5487290996632388)",0.3-0.7
